"exped","ubic","numextubi","numintubi","colubi"
"1001001","RIO LAS PALMAS","483","","DEL VALLE"
"1001002","RIO LAS PALMAS","477","","DEL VALLE"
"1001003","RIO LAS PALMAS","471","","DEL VALLE"
"1001004","RIO LAS PALMAS","465","","DEL VALLE"
"1001005","RIO LAS PALMAS","459","","DEL VALLE"
"1001006","RIO LAS PALMAS","453","","DEL VALLE"
"1001007","RIO LAS PALMAS","447","","DEL VALLE"
"1001008","RIO LAS PALMAS","441","","DEL VALLE"
"1001009","RIO LAS PALMAS 435","","","DEL VALLE"
"1001010","RIO LAS PALMAS 429","","","DEL VALLE"
"1001011","RIO LAS PALMAS","423","","DEL VALLE"
"1001012","RIO LAS PALMAS","417","","DEL VALLE"
"1001013","RIO LAS PALMAS","411","","DEL VALLE"
"1001014","RIO BRAVO","405","","DEL VALLE"
"1001015","LAS PALMAS","451","","DEL VALLE"
"1001016","RIO LAS PALMAS","449","","DEL VALLE"
"1001017","RIO LAS PALMAS","445","","DEL VALLE"
"1001018","RIO LAS PALMAS 443","","","DEL VALLE"
"1001019","RIO LAS PALMAS 439","","","DEL VALLE"
"1001020","RIO LAS PALMAS","437","","DEL VALLE"
"1001021","RIO LAS PALMAS","433","","DEL VALLE"
"1001022","RIO LAS PALMAS 431","","","DEL VALLE"
"1001023","RIO LAS PALMAS","427","","DEL VALLE"
"1001024","RIO LAS PALMAS 425","","","VALLE"
"1001025","RIO LAS PALMAS","421","","DEL VALLE"
"1001026","RIO LAS PALMAS","419","","DEL VALLE"
"1001027","RIO LAS PALMAS","415","","DEL VALLE"
"1001028","RIO LAS PALMAS 413","","","DEL VALLE"
"1001029","RIO LAS PALMAS","409","","DEL VALLE"
"1001030","RIO LAS PALMAS","407","","DEL VALLE"
"1001031","RIO BRAVO","403","","DEL VALLE"
"1001032","RIO BRAVO","401","","DEL VALLE"
"1001033","RIO BRAVO","402","","DEL VALLE"
"1001034","RIO BRAVO","404","","DEL VALLE"
"1001035","RIO BRAVO","406","","DEL VALLE"
"1001036","PRIV RIO LAS PALMAS","408","","DEL VALLE"
"1001037","C PRIVADA","410","","DEL VALLE"
"1001038","C PRIVADA","412","","DEL VALLE"
"1001039","C PRIVADA LAS PALMAS 414","","","DEL VALLE"
"1001040","RIO LAS PALMAS","416","","DEL VALLE"
"1001041","PRIV RIO LAS PALMAS 418","","","DEL VALLE"
"1001042","C PRIVADA RIO LAS PALMAS","420","","DEL VALLE"
"1001043","RIO LAS PALMAS","422","","DEL VALLE"
"1001044","RIO LAS PALMAS","424","","DEL VALLE"
"1001045","RIO LAS PALMAS 426","","","VALLE"
"1001046","PRIV RIO LAS PALMAS","428","","DEL VALLE"
"1001047","PRIV RIO LAS PALMAS 430","","","DEL VALLE"
"1001048","PRIV RIO BRAVO","432","","DEL VALLE"
"1001049","PRIV LAS PALMAS PTE 434","","","DEL VALLE"
"1001050","PRIV RIO LAS PALMAS","436","","DEL VALLE"
"1001051","PRIV RIO LAS PALMAS 438","","","DEL VALLE"
"1001052","PRIVADA RIO LAS PALMAS 440","","","DEL VALLE"
"1001053","PRIV RIO LAS PALMAS 442","","","DEL VALLE"
"1001054","C PRIVADA LAS PALMAS 444","","","DEL VALLE"
"1001055","PRIV LAS PALMAS","446","","DEL VALLE"
"1001056","PRIV RIO LAS PALMAS 448","","","DEL VALLE"
"1001057","PRIV RIO LAS PALMAS","450","","DEL VALLE"
"1001058","PRIV RIO LAS PALMAS 452","","","DEL VALLE"
"1001059","PRIV LAS PALMAS","454","","DEL VALLE"
"1001060","RIO LAS PALMAS","481","","DEL VALLE"
"1001061","RIO LAS PALMAS","479","","DEL VALLE"
"1001062","RIO LAS PALMAS 475","","","DEL VALLE"
"1001063","RIO LAS PALMAS 473","","","DEL VALLE"
"1001064","RIO LAS PALMAS 469","","","DEL VALLE"
